Customer ID	Phone Service	Multiple Lines	Internet Service	Online Security	Online Backup	Device Protection Plan	Premium Tech Support	Streaming TV	Streaming Movies	Streaming Music	Unlimited Data	Paperless Billing	Gender	Age	Married	Number of Dependents	City	Number of Referrals	Tenure in Months	Offer	Avg Monthly Long Distance Charges	Internet Type	Avg Monthly GB Download	Contract	Payment Method	Monthly Charge	Total Charges	Total Refunds	Total Extra Data Charges	Total Long Distance Charges	Total Revenue	Customer Status	Churn Category	Churn Reason	ABC Метка	ABC Наименование группы	XYZ Метка	XYZ Наименование группы	RFM Метка	RFM Наименование группы
0017-DINOC	0	0	1	1	0	0	1	1	0	0	1	0	Male	47	No	0	Rancho Santa Fe	0	54	None		Cable	10	Two Year	Credit Card	45,2	2460,55	0	0	0	2460,55	Stayed			B	Средний клиент	X	Стабильный клиент	312	Неактивные клиенты (Lost Customers)
0017-IUDMW	1	1	1	1	1	1	1	1	1	1	1	1	Female	25	Yes	2	Sunnyvale	2	72	None	16.01	Fiber Optic	59	Two Year	Credit Card	116,8	8456,75	0	0	1152,72	9609,47	Stayed			A	VIP-клиент	Y	Нестабильный клиент	111	Самые ценные клиенты (Champions)
0018-NYROU	1	0	1	0	0	0	0	0	0	0	1	1	Female	58	Yes	0	Antelope	0	5	None	18.65	Fiber Optic	10	Month-to-Month	Bank Withdrawal	68,95	351,5	0	0	93,25	444,75	Stayed			C	Низкорентабельный клиент	Y	Нестабильный клиент	133	Новички (New Customers)
0019-EFAEP	1	1	1	1	1	1	0	1	0	0	1	1	Female	32	No	0	La Mesa	0	72	Offer A	2.25	Fiber Optic	16	Two Year	Bank Withdrawal	101,3	7261,25	0	0	162	7423,25	Stayed			A	VIP-клиент	X	Стабильный клиент	111	Самые ценные клиенты (Champions)
0019-GFNTW	0	0	1	1	1	1	1	0	0	0	1	0	Female	39	No	0	Los Olivos	0	56	None		DSL	19	Two Year	Bank Withdrawal	45,05	2560,1	0	0	0	2560,1	Stayed			B	Средний клиент	X	Стабильный клиент	312	Неактивные клиенты (Lost Customers)
0020-INWCK	1	1	1	0	1	1	0	0	1	1	1	1	Female	58	Yes	2	Woodlake	9	71	Offer A	27.26	Fiber Optic	12	Two Year	Credit Card	95,75	6849,4	0	0	1935,46	8784,86	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	311	Неактивные клиенты (Lost Customers)
0020-JDNXP	0	0	1	1	0	1	1	1	1	1	1	0	Female	52	Yes	1	Point Reyes Station	0	34	None		DSL	20	One Year	Credit Card	61,25	1993,2	0	0	0	1993,2	Stayed			B	Средний клиент	X	Стабильный клиент	322	Неактивные клиенты (Lost Customers)
0021-IKXGC	1	1	1	0	0	0	0	0	0	0	1	1	Female	72	No	0	San Marcos	0	1	Offer E	7.77	Fiber Optic	22	One Year	Bank Withdrawal	72,1	72,1	0	0	7,77	79,87	Joined			C	Низкорентабельный клиент	X	Стабильный клиент	133	Новички (New Customers)
0022-TCJCI	1	0	1	1	0	1	0	0	1	0	1	0	Male	79	No	0	Daly City	0	45	None	10.67	DSL	17	One Year	Credit Card	62,7	2791,5	0	0	480,15	3271,65	Churned	Dissatisfaction	Limited range of services	A	VIP-клиент	Y	Нестабильный клиент	322	Неактивные клиенты (Lost Customers)
0023-HGHWL	0	0	1	0	0	0	0	0	0	0	1	1	Male	67	No	0	Morgan Hill	0	1	None		Cable	9	Month-to-Month	Bank Withdrawal	25,1	25,1	0	0	0	25,1	Churned	Competitor	Competitor made better offer	C	Низкорентабельный клиент	X	Стабильный клиент	133	Новички (New Customers)
0023-UYUPN	1	1	0	0	0	0	0	0	0	0	0	0	Female	79	Yes	0	Ahwahnee	0	50	None	31.43			One Year	Bank Withdrawal	25,2	1306,3	0	0	1571,5	2877,8	Stayed			B	Средний клиент	Z	Непредсказуемый клиент	112	Потенциально ценные клиенты (Loyal Customers)
0023-XUOPT	1	1	1	0	1	1	0	1	0	0	1	0	Female	26	Yes	0	Carnelian Bay	1	13	None	43.56	Fiber Optic	52	Month-to-Month	Bank Withdrawal	94,1	1215,6	0	0	566,28	1781,88	Churned	Other	Don't know	B	Средний клиент	Z	Непредсказуемый клиент	132	Новички (New Customers)
0027-KWYKW	1	1	1	0	0	0	0	1	0	0	1	1	Female	30	Yes	2	Alpaugh	1	23	Offer D	34.91	Fiber Optic	30	Month-to-Month	Bank Withdrawal	83,75	1849,95	0	0	802,93	2652,88	Stayed			B	Средний клиент	Z	Непредсказуемый клиент	122	Потенциально ценные клиенты (Loyal Customers)
0030-FNXPP	1	0	0	0	0	0	0	0	0	0	0	0	Female	22	No	0	Keeler	0	3	None	3.12			Month-to-Month	Credit Card	19,85	57,2	0	0	9,36	66,56	Joined			C	Низкорентабельный клиент	X	Стабильный клиент	133	Новички (New Customers)
0031-PVLZI	1	0	0	0	0	0	0	0	0	0	0	0	Female	34	Yes	0	Korbel	0	4	Offer E	12.43			Month-to-Month	Credit Card	20,35	76,35	0	0	49,72	126,07	Churned	Price	Long distance charges	C	Низкорентабельный клиент	Y	Нестабильный клиент	133	Новички (New Customers)
0032-PGELS	0	0	1	1	0	0	0	0	0	0	1	0	Female	37	Yes	1	Palomar Mountain	1	1	None		DSL	19	Month-to-Month	Bank Withdrawal	30,5	30,5	0	0	0	30,5	Churned	Attitude	Attitude of service provider	C	Низкорентабельный клиент	X	Стабильный клиент	133	Новички (New Customers)
0036-IHMOT	1	0	1	0	1	1	1	1	1	1	0	1	Female	37	Yes	3	Parlier	10	55	None	35.04	Fiber Optic	57	One Year	Bank Withdrawal	103,7	5656,75	0	20	1927,2	7603,95	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	311	Неактивные клиенты (Lost Customers)
0040-HALCW	1	0	0	0	0	0	0	0	0	0	0	0	Male	42	Yes	3	Modesto	3	54	None	19.7			Two Year	Credit Card	20,4	1090,6	0	0	1063,8	2154,4	Stayed			B	Средний клиент	Y	Нестабильный клиент	312	Неактивные клиенты (Lost Customers)
0042-JVWOJ	1	0	0	0	0	0	0	0	0	0	0	1	Male	64	No	0	Glen Ellen	0	26	Offer C	37.7			One Year	Bank Withdrawal	19,6	471,85	21,25	0	980,2	1430,8	Stayed			B	Средний клиент	Z	Непредсказуемый клиент	122	Потенциально ценные клиенты (Loyal Customers)
0042-RLHYP	1	0	0	0	0	0	0	0	0	0	0	0	Female	47	Yes	3	Eureka	5	69	None	38.39			Two Year	Bank Withdrawal	19,7	1396,9	0	0	2648,91	4045,81	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	311	Неактивные клиенты (Lost Customers)
0048-LUMLS	1	0	1	0	0	0	0	1	1	1	1	0	Male	23	Yes	3	Moss Beach	1	37	Offer C	43.01	Fiber Optic	51	One Year	Credit Card	91,2	3247,55	0	0	1591,37	4838,92	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	121	Потенциально ценные клиенты (Loyal Customers)
0048-PIHNL	1	0	0	0	0	0	0	0	0	0	0	0	Female	48	Yes	0	Los Angeles	5	49	Offer B	49.58			One Year	Bank Withdrawal	20,45	900,9	0	0	2429,42	3330,32	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	112	Потенциально ценные клиенты (Loyal Customers)
0052-DCKON	1	1	1	1	1	1	1	1	1	1	1	0	Male	28	Yes	0	Los Angeles	9	66	None	43.77	Fiber Optic	41	One Year	Bank Withdrawal	-2	7942,15	0	0	2888,82	10830,97	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	311	Неактивные клиенты (Lost Customers)
0052-YNYOT	1	0	0	0	0	0	0	0	0	0	0	0	Female	28	No	0	Calexico	0	67	None	23.12			One Year	Bank Withdrawal	20,55	1343,4	30,53	0	1549,04	2861,91	Stayed			B	Средний клиент	Y	Нестабильный клиент	312	Неактивные клиенты (Lost Customers)
0056-EPFBG	0	0	1	1	0	1	1	0	0	0	1	1	Male	33	Yes	1	Redding	4	20	None		Cable	22	Two Year	Credit Card	39,4	825,4	0	0	0	825,4	Stayed			C	Низкорентабельный клиент	X	Стабильный клиент	323	Неактивные клиенты (Lost Customers)
0057-QBUQH	1	1	0	0	0	0	0	0	0	0	0	1	Female	31	No	3	San Martin	0	43	None	30.64			Two Year	Bank Withdrawal	25,1	1070,15	0	0	1317,52	2387,67	Stayed			B	Средний клиент	Z	Непредсказуемый клиент	322	Неактивные клиенты (Lost Customers)
0058-EVZWM	1	1	1	1	0	0	0	1	0	0	1	1	Female	37	Yes	0	Stockton	2	55	Offer B	5.08	Fiber Optic	9	Month-to-Month	Bank Withdrawal	89,8	4959,6	0	0	279,4	5239	Stayed			A	VIP-клиент	X	Стабильный клиент	111	Самые ценные клиенты (Champions)
0060-FUALY	1	1	1	1	1	0	0	1	0	0	1	1	Female	60	Yes	0	Los Angeles	4	59	Offer B	16.39	Fiber Optic	14	Month-to-Month	Bank Withdrawal	94,75	5597,65	0	0	967,01	6564,66	Stayed			A	VIP-клиент	Y	Нестабильный клиент	111	Самые ценные клиенты (Champions)
0064-SUDOG	1	0	0	0	0	0	0	0	0	0	0	0	Female	48	Yes	3	Huntington Park	3	12	None	19.28			Two Year	Bank Withdrawal	20,3	224,5	0	0	231,36	455,86	Stayed			C	Низкорентабельный клиент	Y	Нестабильный клиент	333	Неактивные клиенты (Lost Customers)
0064-YIJGF	1	1	1	0	0	0	0	0	0	0	1	1	Male	60	Yes	3	Yermo	7	27	Offer C	25.26	Fiber Optic	23	Month-to-Month	Bank Withdrawal	75,75	1929	0	0	682,02	2611,02	Stayed			B	Средний клиент	Y	Нестабильный клиент	122	Потенциально ценные клиенты (Loyal Customers)
0067-DKWBL	1	0	1	1	0	0	0	0	0	0	1	1	Male	69	No	0	San Diego	0	2	None	43.99	DSL	27	Month-to-Month	Bank Withdrawal	49,25	91,1	0	0	87,98	179,08	Churned	Competitor	Competitor made better offer	C	Низкорентабельный клиент	Z	Непредсказуемый клиент	133	Новички (New Customers)
0068-FIGTF	1	0	1	0	1	1	1	1	1	1	1	0	Female	20	No	0	Fremont	0	27	Offer C	48.91	DSL	59	One Year	Credit Card	78,2	2078,95	0	0	1320,57	3399,52	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	122	Потенциально ценные клиенты (Loyal Customers)
0071-NDAFP	1	1	0	0	0	0	0	0	0	0	0	0	Male	31	Yes	3	Santa Rosa	1	25	None	23.69			Two Year	Credit Card	25,5	630,6	44,42	0	592,25	1178,43	Stayed			B	Средний клиент	Y	Нестабильный клиент	122	Потенциально ценные клиенты (Loyal Customers)
0074-HDKDG	1	0	1	1	1	1	0	0	0	0	1	1	Male	46	Yes	0	San Jose	5	25	None	6.45	Cable	19	One Year	Bank Withdrawal	61,6	1611	44,9	0	161,25	1727,35	Stayed			B	Средний клиент	X	Стабильный клиент	122	Потенциально ценные клиенты (Loyal Customers)
0076-LVEPS	0	0	1	1	1	1	1	0	0	0	1	1	Male	57	No	1	Tujunga	0	29	None		DSL	21	Month-to-Month	Credit Card	45	1242,45	12,26	0	0	1230,19	Stayed			B	Средний клиент	X	Стабильный клиент	122	Потенциально ценные клиенты (Loyal Customers)
0078-XZMHT	1	1	1	0	1	1	1	1	1	1	1	1	Male	19	Yes	0	Visalia	5	72	None	32.36	DSL	52	Two Year	Bank Withdrawal	85,15	6316,2	0	0	2329,92	8646,12	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	111	Самые ценные клиенты (Champions)
0080-EMYVY	1	0	1	0	1	0	0	0	0	0	1	0	Female	64	No	0	Lodi	0	14	None	24.04	Cable	12	One Year	Credit Card	51,45	727,85	0	0	336,56	1064,41	Stayed			C	Низкорентабельный клиент	Y	Нестабильный клиент	122	Потенциально ценные клиенты (Loyal Customers)
0080-OROZO	1	0	1	0	0	1	1	1	1	1	1	1	Female	38	No	0	El Portal	0	35	Offer C	36.42	Fiber Optic	2	One Year	Bank Withdrawal	99,25	3532	0	0	1274,7	4806,7	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	321	Неактивные клиенты (Lost Customers)
0082-LDZUE	1	0	1	0	0	0	0	0	0	0	1	1	Male	54	No	0	Calistoga	0	1	Offer E	42.95	DSL	9	Month-to-Month	Credit Card	44,3	44,3	0	0	42,95	87,25	Joined			C	Низкорентабельный клиент	Z	Непредсказуемый клиент	133	Новички (New Customers)
0082-OQIQY	1	0	1	0	0	0	1	1	1	1	0	1	Male	50	No	0	Farmington	0	29	None	2.05	Fiber Optic	17	Month-to-Month	Bank Withdrawal	94,2	2607,6	0	20	59,45	2687,05	Stayed			B	Средний клиент	X	Стабильный клиент	122	Потенциально ценные клиенты (Loyal Customers)
0083-PIVIK	1	1	1	1	1	1	1	1	0	0	0	0	Male	25	No	0	Tulelake	0	64	None	5.49	DSL	69	One Year	Bank Withdrawal	81,25	5567,55	0	40	351,36	5958,91	Stayed			A	VIP-клиент	Y	Нестабильный клиент	311	Неактивные клиенты (Lost Customers)
0089-IIQKO	1	1	1	0	0	0	1	1	1	1	1	1	Female	35	Yes	3	Coleville	1	39	None	24.38	Fiber Optic	53	Month-to-Month	Credit Card	99,95	3767,4	0	0	950,82	4718,22	Stayed			A	VIP-клиент	Y	Нестабильный клиент	121	Потенциально ценные клиенты (Loyal Customers)
0093-EXYQL	1	0	1	0	0	0	0	1	1	0	1	1	Female	72	No	0	Ojai	0	40	None	44.14	Fiber Optic	23	Two Year	Bank Withdrawal	91,55	3673,6	0	0	1765,6	5439,2	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	321	Неактивные клиенты (Lost Customers)
0093-XWZFY	1	1	1	0	1	1	0	1	1	1	1	1	Male	51	No	0	Desert Hot Springs	0	40	None	37.69	Fiber Optic	15	Month-to-Month	Credit Card	104,5	4036,85	0	0	1507,6	5544,45	Churned	Competitor	Competitor had better devices	A	VIP-клиент	Z	Непредсказуемый клиент	121	Потенциально ценные клиенты (Loyal Customers)
0094-OIFMO	1	0	1	0	1	0	0	1	1	0	0	1	Female	78	No	1	North Hollywood	0	11	Offer D	11.59	Fiber Optic	29	Month-to-Month	Bank Withdrawal	95	1120,3	0	120	127,49	1367,79	Churned	Dissatisfaction	Product dissatisfaction	B	Средний клиент	Z	Непредсказуемый клиент	132	Новички (New Customers)
0096-BXERS	1	1	1	0	0	0	0	0	0	0	1	0	Female	30	Yes	0	Inverness	10	6	Offer E	42.66	Cable	85	Month-to-Month	Bank Withdrawal	50,35	314,55	0	0	255,96	570,51	Stayed			C	Низкорентабельный клиент	Z	Непредсказуемый клиент	133	Новички (New Customers)
0096-FCPUF	1	1	1	1	0	0	0	0	1	1	1	1	Male	58	No	0	Santa Rosa	0	30	None	2.64	DSL	15	Month-to-Month	Mailed Check	64,5	1888,45	0	0	79,2	1967,65	Stayed			B	Средний клиент	X	Стабильный клиент	122	Потенциально ценные клиенты (Loyal Customers)
0098-BOWSO	1	0	0	0	0	0	0	0	0	0	0	1	Male	26	No	0	San Jose	0	27	None	20.66			Month-to-Month	Bank Withdrawal	19,4	529,8	0	0	557,82	1087,62	Stayed			C	Низкорентабельный клиент	Y	Нестабильный клиент	122	Потенциально ценные клиенты (Loyal Customers)
0100-DUVFC	1	1	1	0	1	1	0	1	1	0	1	1	Male	66	Yes	0	Wilmington	3	70	None	39.49	Fiber Optic	28	One Year	Bank Withdrawal	104,8	7308,95	6,11	0	2764,3	10067,14	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	311	Неактивные клиенты (Lost Customers)
0103-CSITQ	1	1	1	0	1	1	1	1	1	1	1	1	Female	20	Yes	0	Modesto	10	57	Offer B	8.01	Fiber Optic	73	One Year	Bank Withdrawal	109,4	6252,7	0	0	456,57	6709,27	Stayed			A	VIP-клиент	X	Стабильный клиент	311	Неактивные клиенты (Lost Customers)
0104-PPXDV	1	0	1	0	0	1	0	0	0	0	1	0	Male	61	Yes	0	San Diego	10	58	None	18.37	DSL	18	One Year	Credit Card	50,3	2878,55	10,23	0	1065,46	3933,78	Stayed			A	VIP-клиент	Y	Нестабильный клиент	311	Неактивные клиенты (Lost Customers)
0106-GHRQR	1	1	1	0	1	1	0	0	1	1	1	1	Male	24	No	0	Rancho Palos Verdes	0	16	None	25.71	DSL	48	Month-to-Month	Bank Withdrawal	71,4	1212,1	0	0	411,36	1623,46	Stayed			B	Средний клиент	Z	Непредсказуемый клиент	122	Потенциально ценные клиенты (Loyal Customers)
0106-UGRDO	1	1	1	1	1	1	1	1	1	1	1	1	Female	55	Yes	0	Kenwood	3	69	Offer A	38.52	Fiber Optic	27	Two Year	Bank Withdrawal	116	8182,85	0	0	2657,88	10840,73	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	311	Неактивные клиенты (Lost Customers)
0107-WESLM	1	0	0	0	0	0	0	0	0	0	0	1	Male	32	No	0	West Point	0	1	Offer E	31.77			Month-to-Month	Bank Withdrawal	19,85	19,85	0	0	31,77	51,62	Churned	Attitude	Attitude of support person	C	Низкорентабельный клиент	Z	Непредсказуемый клиент	133	Новички (New Customers)
0107-YHINA	1	1	1	0	0	1	0	1	1	1	1	1	Male	59	No	0	Los Angeles	0	1	None	40.71	Fiber Optic	25	Month-to-Month	Bank Withdrawal	99,75	99,75	0	0	40,71	140,46	Churned	Competitor	Competitor had better devices	C	Низкорентабельный клиент	Z	Непредсказуемый клиент	133	Новички (New Customers)
0111-KLBQG	1	0	1	0	1	0	0	1	1	1	1	1	Male	71	Yes	1	Morongo Valley	9	32	Offer C	31.86	Fiber Optic	23	One Year	Mailed Check	93,95	2861,45	0	0	1019,52	3880,97	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	321	Неактивные клиенты (Lost Customers)
0112-QAWRZ	1	1	1	0	0	1	0	1	0	0	1	1	Male	49	Yes	2	Palo Verde	8	16	Offer D	48.71	Fiber Optic	12	Month-to-Month	Bank Withdrawal	90,8	1442,2	0	0	779,36	2221,56	Stayed			B	Средний клиент	Z	Непредсказуемый клиент	122	Потенциально ценные клиенты (Loyal Customers)
0112-QWPNC	1	1	1	1	0	1	1	1	1	1	1	0	Male	61	Yes	0	Valyermo	1	49	Offer B	39.55	Cable	10	One Year	Bank Withdrawal	84,35	4059,35	0	0	1937,95	5997,3	Churned	Competitor	Competitor offered higher download speeds	A	VIP-клиент	Z	Непредсказуемый клиент	111	Самые ценные клиенты (Champions)
0114-IGABW	0	0	1	0	1	1	1	1	1	1	1	0	Female	40	Yes	0	Cambria	2	71	Offer A		Cable	29	Two Year	Bank Withdrawal	58,25	4145,9	0	0	0	4145,9	Stayed			A	VIP-клиент	X	Стабильный клиент	311	Неактивные клиенты (Lost Customers)
0114-PEGZZ	1	1	1	0	1	1	0	1	1	1	1	0	Female	39	No	0	Round Mountain	0	33	None	49.69	Fiber Optic	12	Month-to-Month	Bank Withdrawal	107,55	3645,5	0	0	1639,77	5285,27	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	121	Потенциально ценные клиенты (Loyal Customers)
0114-RSRRW	1	0	0	0	0	0	0	0	0	0	0	1	Female	21	Yes	0	Klamath	9	10	Offer D	49.6			Month-to-Month	Bank Withdrawal	19,95	187,75	0	0	496	683,75	Stayed			C	Низкорентабельный клиент	Z	Непредсказуемый клиент	133	Новички (New Customers)
0115-TFERT	1	1	1	0	1	1	1	1	1	1	0	1	Male	24	Yes	0	Fresno	1	21	None	36.26	Fiber Optic	59	Month-to-Month	Bank Withdrawal	111,2	2317,1	0	120	761,46	3198,56	Churned	Attitude	Attitude of service provider	A	VIP-клиент	Z	Непредсказуемый клиент	122	Потенциально ценные клиенты (Loyal Customers)
0117-LFRMW	0	0	1	1	1	1	0	0	0	0	1	0	Male	52	Yes	1	Angwin	1	37	None		DSL	23	Month-to-Month	Bank Withdrawal	40,2	1448,8	0	0	0	1448,8	Churned	Competitor	Competitor offered more data	B	Средний клиент	X	Стабильный клиент	122	Потенциально ценные клиенты (Loyal Customers)
0118-JPNOY	1	0	1	1	0	0	0	1	0	0	1	1	Female	71	No	0	Le Grand	0	26	None	33.74	Fiber Optic	7	Month-to-Month	Credit Card	85,8	2193,65	0	0	877,24	3070,89	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	122	Потенциально ценные клиенты (Loyal Customers)
0121-SNYRK	0	0	1	1	0	0	1	0	0	0	1	1	Male	45	No	0	Redway	0	50	Offer B		DSL	7	One Year	Credit Card	35,4	1748,9	0	0	0	1748,9	Stayed			B	Средний клиент	X	Стабильный клиент	112	Потенциально ценные клиенты (Loyal Customers)
0122-OAHPZ	1	1	1	0	0	0	0	0	0	1	1	1	Female	29	No	0	San Diego	0	7	None	28.62	Fiber Optic	26	Month-to-Month	Bank Withdrawal	73,85	511,25	13,03	0	200,34	698,56	Churned	Competitor	Competitor made better offer	C	Низкорентабельный клиент	Z	Непредсказуемый клиент	133	Новички (New Customers)
0123-CRBRT	1	1	1	1	1	1	1	1	1	1	1	0	Female	62	Yes	0	Monterey Park	1	61	Offer B	47.19	DSL	28	Two Year	Mailed Check	88,1	5526,75	0	0	2878,59	8405,34	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	311	Неактивные клиенты (Lost Customers)
0125-LZQXK	1	0	1	0	0	1	1	1	1	1	1	1	Male	42	No	0	Big Oak Flat	0	15	Offer D	45.92	Fiber Optic	12	Month-to-Month	Bank Withdrawal	101,35	1553,95	0	0	688,8	2242,75	Churned	Attitude	Attitude of service provider	B	Средний клиент	Z	Непредсказуемый клиент	122	Потенциально ценные клиенты (Loyal Customers)
0128-MKWSG	0	0	1	1	0	0	1	0	1	1	1	0	Female	51	No	2	Stevenson Ranch	0	26	None		DSL	19	Month-to-Month	Credit Card	45,8	1147	0	0	0	1147	Stayed			B	Средний клиент	X	Стабильный клиент	122	Потенциально ценные клиенты (Loyal Customers)
0129-KPTWJ	1	0	1	0	0	1	0	1	1	1	1	1	Male	39	Yes	0	North Highlands	9	72	None	33.22	Fiber Optic	23	Month-to-Month	Bank Withdrawal	94,65	6747,35	0	0	2391,84	9139,19	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	111	Самые ценные клиенты (Champions)
0129-QMPDR	1	0	0	0	0	0	0	0	0	0	0	1	Male	64	Yes	0	La Puente	1	44	None	27.4			One Year	Bank Withdrawal	20,5	865,05	0	0	1205,6	2070,65	Stayed			B	Средний клиент	Z	Непредсказуемый клиент	322	Неактивные клиенты (Lost Customers)
0130-SXOUN	1	1	1	0	1	0	0	0	1	1	0	0	Male	55	No	0	Glenhaven	0	66	Offer A	48.78	Fiber Optic	8	Month-to-Month	Credit Card	89,4	5976,9	36,02	40	3219,48	9200,36	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	111	Самые ценные клиенты (Champions)
0133-BMFZO	1	0	1	1	1	0	1	0	0	0	1	1	Female	40	No	0	Alhambra	0	2	None	36.81	Fiber Optic	16	Month-to-Month	Bank Withdrawal	86,25	181,65	0	0	73,62	255,27	Churned	Competitor	Competitor offered higher download speeds	C	Низкорентабельный клиент	Z	Непредсказуемый клиент	133	Новички (New Customers)
0134-XWXCE	1	0	1	0	0	1	1	1	1	1	1	0	Female	76	No	0	Santa Monica	0	44	None	7.72	DSL	17	One Year	Bank Withdrawal	74,85	3268,05	17,91	0	339,68	3589,82	Stayed			A	VIP-клиент	X	Стабильный клиент	322	Неактивные клиенты (Lost Customers)
0135-NMXAP	1	1	1	0	1	0	0	1	0	0	1	1	Female	57	No	0	Lodi	0	12	Offer D	14.38	Fiber Optic	6	Month-to-Month	Bank Withdrawal	89,75	1052,4	0	0	172,56	1224,96	Churned	Attitude	Attitude of support person	B	Средний клиент	Y	Нестабильный клиент	132	Новички (New Customers)
0136-IFMYD	1	1	1	0	1	1	1	1	1	0	1	1	Male	71	Yes	0	Los Angeles	1	69	None	18.41	Fiber Optic	17	Two Year	Bank Withdrawal	109,95	7634,25	0	0	1270,29	8904,54	Stayed			A	VIP-клиент	Y	Нестабильный клиент	311	Неактивные клиенты (Lost Customers)
